,Title,Description,datetime,Category,Agency
0,نرخ روز انواع ارز در بازار آزاد تهران +جدول,"
قیمت ارز در بازار آزاد تهران در جریان معاملات امروز دوشنبه ۲ آبان ۱۴۰۱ مشخص شد.
",2022-10-24 13:16:29,اخبار ارزی,سایت طلا
1,آرامش بازار ارز در مهرماه با وجود تشدید تحریم‌ها/ دیگر خبری از شوک‌های ارزی دولت قبل نیست,"
تهران- ایرنا- آرامش بازار ارز در مهرماه امسال با وجود اغتشاشات و تشدید تحریم‌های ظالمانه آمریکا و غرب علیه کشور نشان می‌دهد که اقدامات موثر بانک مرکزی برای مدیریت بازار ارز و تامین نیاز ارزی کشور موفق بوده و دیگر خبری از نوسان شدید و تلاطم در قیمت‌ها نیست و بازار ارز نخستین ماه پاییز را با ثبات پشت سرگذاشت.
",2022-10-24 13:02:00,اخبار ارزی,مشرق
2,اروپا در رکود، روسیه از رکود خارج شد / اجاق گازهای روشن؛ در روسیه فقط چند روبل، در برلین صدها یورو!,"
این روزها روس ها موضوع زیادی برای لاف زدن ندارند، بنابراین آنچه را که می توانند به دست آورند در آن درنگ نمی کنند. ترول های رسانه های اجتماعی ویدئوهایی را منتشر می کنند که برای مخاطبان اروپایی در نظر گرفته شده و نشان می دهند که اجاق گازهای آنها به صورت مداوم کار می کند. چیزی که ممکن است در برلین صدها یورو هزینه داشته باشد در مسکو به چند روبل می رسد. تمسخر کودکانه است، اما به حقیقتی عمیق تر اشاره می کند: جنگ اقتصادی بین روسیه و غرب در لحظه حساسی است. در حالی که اروپا در آستانه رکود است، روسیه از رکود خارج می شود.
",2022-10-24 13:01:56,اخبار ارزی,ایرنا
3,قیمت دلار، درهم و یورو امروز 2 آبان1401/ دلار عقب نشینی کرد,"
اقتصادنیوز: قیمت دلار امروز مسیر کاهش را دنبال کرد.
",2022-10-24 12:46:36,اخبار ارزی,اقتصاد آنلاین
4,خانه های خاص مارک زاکربرگ + عکس,"
مارک زاکربرگ یکی از ثروتمندترین مردان جهان است، بنابراین تعجبی ندارد که او خانه‌های بسیار بزرگ و زیبای زیادی داشته باشد.
",2022-10-24 12:36:53,اخبار ارزی,اقتصاد نیوز
5,کاهش قیمت نفت به 92 دلار,"
آمار ناامیدکننده تقاضا در چین، قیمت نفت را در بازارهای جهانی بیش از یک دلار کاهش داد.
",2022-10-24 12:36:51,اخبار ارزی,اقتصاد آنلاین
6,دشمنی با دلار به ایستگاه اهرام مصر رسید,"
رئیس کل جدید بانک مرکزی مصر اعلام کرد که این کشور می‌خواهد شاخص ارزی جدیدی را برای دوری از وابستگی به دلار ایجاد کند.
",2022-10-24 12:36:47,اخبار ارزی,ایران اکونومیست
7,صادرات روسیه به چین 1.5 برابر شد,"
آمار اداره کل گمرک چین نشان می‌دهد، واردات چین از روسیه 51 درصد بالا رفته و به مرز 84 میلیارد دلار رسیده است.
",2022-10-24 12:36:40,اخبار ارزی,ایران اکونومیست
8,پیش بینی درآمد روسیه با نفت بشکه‌ای 70 دلار,"
وزارت اقتصاد روسیه اعلام کرد که شرایط در بازار نفت در حوزه تامین منافع خریداران و فروشندگان چالش‌برانگیز شده است.
",2022-10-24 12:36:36,اخبار ارزی,ایران اکونومیست
9,ین ژاپن در برزخ!,"
در حالی که با بروز احتمال نخست‌وزیری «ریشی سوناک» پوند انگلیس افزایش یافت، ین ژاپن با ادامه‌ی روند کاهشی در برابر دلار، مداخله‌ی مقامات را طلب کرد.
",2022-10-24 12:11:30,اخبار ارزی,ایران اکونومیست
10,خطر جدی خروج قایدی و محبی از استقلال,"
اعضای هیات مدیره باشگاه استقلال برای برون رفت از بحرانی که پیشِ روی این باشگاه است، روز گذشته تشکیل جلسه دادند.
",2022-10-24 12:02:17,اخبار ارزی,اخبار ویژه
11,شروع با ثبات دلار آبان,"
نرخ شاخص ارزی در نخستین روز آبان ۱۴۰۱ با ۱۰ تومان کاهش نسبت به نرخ روز پیشین در رقم ۳۲ هزار و ۷۵۰ تومان معامله شد. این در حالی است که خبر‌های منتشر شده در زمینه نشست‌های هسته‌ای ایران و قدرت‌های جهانی فاقد سیگنال‌های مثبت بوده و انتظارات موجود در فضای جامعه و بازار سمت و سوی تورمی دارد.
",2022-10-24 12:02:14,اخبار ارزی,اقتصاد آنلاین
12,اختصاص 3 میلیارد دلار خط اعتباری صندوق توسعه‌ به بانک‌های عامل,"
مدیرعامل صندوق توسعه ملی از اختصاص خط اعتباری 3 میلیارد دلاری صندوق توسعه به بانک‌های عامل برای پرداخت به پروژه‌ها خبر داد.
",2022-10-24 12:02:07,اخبار ارزی,اقتصاد 24
13,نرخ دلار به نقطه اعتدال رسید؟,"
اقتصاد نیوز : قیمت دلار در معاملات پشت خطی دیشب نوسان محدودی از خود ثبت کرد و همین موضوع باعث شده معامله گران روند حرکتی قیمت دلار در بازار امروز را مانند روز های گذشته ملایم پیش بینی کنند.
",2022-10-24 11:41:35,اخبار ارزی,ایران اکونومیست
14,اختصاص 3 میلیارد دلار خط اعتباری صندوق توسعه‌ به بانک‌های عامل/ 75 درصد تسهیلات صندوق‌ برگشت,"
مدیرعامل صندوق توسعه ملی از اختصاص خط اعتباری 3 میلیارد دلاری صندوق توسعه به بانک‌های عامل برای پرداخت به پروژه‌ها خبر داد.
",2022-10-24 11:41:32,اخبار ارزی,دنیای اقتصاد
15,رشد جزئی قیمت بیت کوین,"
در حال حاضر بازار رمزارزها شاهد رشد بوده و اکنون بیت کوین در کانال ۱۹ هزار دلاری قرار دارد.
",2022-10-24 11:32:00,اخبار ارزی,فارس
16,قیمت دلار 2 آبان 1401 | قیمت دلار کاهش می یابد؟,"
",2022-10-24 11:31:58,اخبار ارزی,اقتصاد آنلاین
17,پیش بینی قیمت دلار 2 آبان در بازار ارز تهران,"
دلار از ابتدای سال حدود ۲۵ درصد رشد قیمت را تجربه کرده است و همین موضوع نشان می دهد که تمایل برای خرید این ارز در سال ۱۴۰۱ بیشتر شده است. با این حال، اسکناس آمریکایی برای ثبت رکوردهای تاریخی نیاز به خریدهای سنگین تری دارد، چرا که بازارساز نشان داده است حداقل در مرز ۳۳ هزار تومان، عرضه ارز قابل توجه خواهد بود.
",2022-10-24 11:26:25,اخبار ارزی,جام جم آنلاین
